"Academic.level","Gender","Age","Total.Semesters","Background.in.Statistics","Background.in.R","Background.in.Academic.Writing","Expectations"
"Bachelor","Female",23,8,2,2,2,"I want to be efficient in my knowledge of Data "
"Bachelor","Female",22,10,4,3,2,"I would like to become more fluent in Data"
"Master","Male",23,9,4,2,4,"basic knowledge and methods to analyze data in my own daily life"
"Master","Male",24,2,3,1,3,"Handling Big data"
"Master","Male",27,10,2,1,4,"Find out statistical data by an efficient way for necessary questions for the preparation of the master thesis"
"Master","Male",23,7,3,1,2,"I want to learn programming and use it to solve real life corporate problems. "
"Bachelor","Female",20,5,2,3,3,"I expect to learn a lot about different ways of managing and interpreting data from different sources as well as learning new methods and applications for real life and cases."
"Bachelor","Female",22,8,2,1,2,"Deepen my knowledge about analytics and data management "
"Master","Male",27,13,4,4,4,"I expect 1) to gain some new R experience using it in a real-world project, 2) to learn some new packages, 3)to apply my existing knowledge in R and Statistics in a particular study."
"Master","Female",22,10,4,4,3,"How to analyze data with R"
"Bachelor","Male",28,8,2,1,1,"To obtain knowledge on how to use the R software to analyse data based on statistics."
"Bachelor","Female",22,8,2,2,2,"To improve my skills in Data Analytics"
"Master","Female",21,7,2,2,3,"I expect to learn the basics in programming"
"Master","Male",23,7,2,1,1,"I will get to learn different prescpectives of Data Management and also get to learn about the R language"
"Master","Male",24,9,3,2,3,"I expect to refresh and expand my knowledge of statistics and R. "
"Master","Male",27,15,3,3,2,"Data Analysis"
"Bachelor","Male",31,6,1,1,1,"Learning and using R in a most practical way e.g. real scenario"
"Master","Female",29,9,3,3,3,"Required skills to get better in data analysis"
"Master","Male",25,1,2,2,3,"Learn about how to manage and translate Quantitative data into possible solutions "
"Master","Female",23,8,4,3,3,"To learn more about programming in R and statistics."
"Bachelor","Female",23,8,3,2,3,"I would like to learn how to work with data, especially where to start when it comes to finding a solution for a hypothesis or a problem and how to evaluate it to make data-based forecasts. Moreover, I want to become more familiar with different programming languages and lose my ""fear"" of programming. "
"Bachelor","Male",24,8,2,1,3,"Academic data analysis and usage of tools to find solutions for questions"
"Bachelor","Female",23,5,2,1,3,"How to work with and interpret big data sets."
"Bachelor","Male",36,4,3,1,3,"Analysis of statistical Data in R."
"Master","Female",26,8,2,3,3,"to become fluent in the programming language R "
"Master","Male",25,9,2,3,3,"I would like to learn more about data and improve in exploratory data analysis. My goal is to become a data/business analyst where working with data will be my daily routine and I hope to become more comfortable (""fluent"") and observant with data by participating in this course.  "
"Bachelor","Male",21,2,3,1,1,"Being able to understand information and what it represents and how can the knowledge aquired can be aplied"
"Bachelor","Female",23,9,3,2,1,"Get to work with real-world data and analyze it using R."
"Bachelor","Female",27,12,3,2,1,"Analyze data with R or other equipment "
"Master","Male",26,15,3,3,3,"More skils about data analysis and maybe data visualization with R and other analytical programs."
"Bachelor","Female",22,8,4,3,2,"proper ways of data analysis and empirical research, some hands on application of the knowledge learned instead of simply theory"
"Master","Male",29,10,1,1,5,"R programming and the use of statistics in real programme with R."
"Master","Male",25,9,1,1,3,"To understand the fundamentals of Data analysis and the tools (programs) used in my studies as well as in the professional world."
"Master","Male",28,10,3,3,2,"During my job search, i have learned the things that the companies want their employees to have. I believe this seminar will get me familiar with ""Git"" and I believe I can develop myself further with the exercises of 'R'."
"Master","Female",25,10,2,1,2,"to learn how to work with R "
"Bachelor","Female",21,4,2,1,1,"R coding and empirical research procedures"
"Master","Female",24,11,1,1,1,"Learn how to deal with data, learn more about R, prepare for a thesis"
"Master","Female",25,10,3,1,4,"Programming "
"Bachelor","Male",22,8,3,1,4,"To learn how to use R-Programming for academic research and to draw conclusion based on the database. Find out correlations and causations based on the data to support an academic theory. "
"Master","Male",32,14,4,1,4,"would love to learn the data sciences from the scratch."
"Bachelor","Female",25,6,1,1,2,"To become fluent in data tools."
"Bachelor","Female",21,3,2,1,3,"I would like to understand more about websites and the way they work, and also i would like to have an introduction about programmation because I have a friend who does some programmation and that seems really interesting. "
"Bachelor","Male",21,1,2,1,3,"Learn the R language and improve my data analysis"
"Bachelor","Female",23,8,4,3,2,"repeat staff and learn smt new :) "
"Bachelor","Male",23,3,1,1,1,"I expect to retain no knowledge after participation, as is the case with most of my classes. But I would be happy if I am wrong, and in that case, I hope to develop useful skills and acquaint myself with helpful tools and software."
"Master","Female",33,3,1,1,4,"I expert to be fluent in data Analysis by the end of the course"
"Bachelor","Male",26,7,2,1,3,"To understand the nature of data."
"Master","Female",25,14,4,3,4,"I would like to get familiar with R and learn how to apply theoritical statistical knowledge on real-life examples"
"Bachelor","Male",28,2,1,1,1,"To understand a lot programming languages in Statistics"
"Bachelor","Female",21,1,3,1,1,"I expect to learn fundamental topics in R programming and its various aspects and how to implement these for effective data analysis. "
"Master","Male",25,13,4,1,3,"I am expecting to familiarize myself with basic concepts of Data Analysis and grasping basic foundations of softwares related to Data like R"
"Master","Male",24,11,4,2,3,"I expect to take on interesting projects with relation to data, and improve my fundamental understanding of data and expand the arsenal of what I can do."
"Bachelor","Male",22,6,4,2,4,"I expect to become fluent in the basics of R and looking forward to the introduction of Github in order to start working on my own analytics projects and accelerate my studies as well "
"Master","Female",25,11,3,3,4,"i want to improve my skills in R and overall become better in data analytics"
"Master","Female",26,4,2,1,1,"To somehow be able to navigate the data."
"Master","Male",24,1,1,1,1,"To build my knowledge in data analysis and data science"
"Master","Male",24,2,1,1,3,"how to program1"
